Message ID,Send Time,Receive Time,Status
662,10018535143,10018535177,1
663,10018535343,10018535391,1
664,10018535543,10018535578,1
665,10018535743,10018535780,1
666,10018535943,10018535987,1
667,10018536144,10018536194,1
668,10018536344,10018536392,1
669,10018536544,10018536583,1
670,10018536744,10018536865,1
671,10018536944,10018536992,1
672,10018537144,10018537226,1
673,10018537345,10018537560,1
674,10018537545,10018537582,1
675,10018537745,10018537793,1
676,10018537945,10018537988,1
677,10018538145,10018538185,1
678,10018538345,10018538381,1
679,10018538545,10018538581,1
680,10018538746,10018538782,1
681,10018538946,10018539012,1
682,10018539146,10018539219,1
683,10018539346,10018539391,1
684,10018539546,10018539588,1
685,10018539746,10018539792,1
686,10018539947,10018540138,1
687,10018540147,10018540187,1
688,10018540347,10018540383,1
689,10018540547,10018540588,1
690,10018540747,10018540803,1
691,10018540947,10018540990,1
692,10018541147,10018541187,1
693,10018541348,10018541424,1
694,10018541548,10018541583,1
695,10018541748,10018541792,1
696,10018541948,10018542014,1
697,10018542148,10018542193,1
698,10018542348,10018542402,1
699,10018542549,10018542594,1
700,10018542749,10018542782,1
701,10018542949,10018542998,1
702,10018543149,10018543185,1
703,10018543349,10018543417,1
704,10018543549,10018543592,1
705,10018543749,10018543789,1
706,10018543950,10018544030,1
707,10018544150,10018544183,1
708,10018544350,10018544392,1
709,10018544550,10018544663,1
710,10018544750,10018544802,1
711,10018544950,10018544987,1
712,10018545151,10018545191,1
713,10018545351,10018545479,1
714,10018545551,10018545586,1
715,10018545751,10018545785,1
716,10018545951,10018546037,1
717,10018546151,10018546188,1
718,10018546351,10018546388,1
719,10018546552,10018546609,1
720,10018546752,10018546796,1
721,10018546952,10018547059,1
722,10018547152,10018547337,1
723,10018547352,10018547400,1
724,10018547552,10018547599,1
725,10018547753,10018547787,1
726,10018547953,10018548006,1
727,10018548153,10018548214,1
728,10018548353,10018548392,1
729,10018548553,10018548589,1
730,10018548753,10018548790,1
731,10018548953,10018548995,1
732,10018549154,10018549193,1
733,10018549354,10018549394,1
734,10018549554,10018549591,1
735,10018549754,10018549935,1
736,10018549954,10018550001,1
737,10018550154,10018550188,1
738,10018550354,10018550391,1
739,10018550555,10018550611,1
740,10018550755,10018550789,1
741,10018550955,10018550999,1
742,10018551155,10018551222,1
743,10018551355,10018551391,1
744,10018551555,10018551598,1
745,10018551756,10018551838,1
746,10018551956,10018551993,1
747,10018552156,10018552194,1
748,10018552356,10018552449,1
749,10018552556,10018552590,1
750,10018552756,10018552797,1
751,10018552956,10018552995,1
752,10018553157,10018553196,1
753,10018553357,10018553397,1
754,10018553557,10018553593,1
755,10018553757,10018553795,1
756,10018553957,10018554004,1
757,10018554157,10018554188,1
758,10018554358,10018554519,1
